"","logFC","AveExpr","t","P.Value","adj.P.Val","B","BH"
"IFI44L",-6.25869895215865,10.8803723610248,-65.9291263898277,9.21921557443437e-10,1.335348479712e-05,12.2353881505421,1.335348479712e-05
"XAF1",-6.04000231394647,9.50002033001202,-58.7786903036217,1.8255066065199e-09,1.335348479712e-05,11.8730482337559,1.335348479712e-05
"MX1",-7.96753456377812,12.0923031227944,-54.4267025092367,2.88489184275372e-09,1.335348479712e-05,11.6048626324596,1.335348479712e-05
"TRIM22",-5.96917178503182,9.90161791671224,-52.9517225828063,3.39704213874726e-09,1.335348479712e-05,11.504132753703,1.335348479712e-05
"IFIT3",-5.61108751945141,11.1616851868283,-52.7200542216718,3.48679782265347e-09,1.335348479712e-05,11.4878170466652,1.335348479712e-05
"ENSG00000262526",5.08718386767235,6.30187653108365,49.9846836735019,4.78667719742854e-09,1.335348479712e-05,11.2843097647745,1.335348479712e-05
"IFI44",-4.80918383771655,9.87919012340087,-48.3449962171063,5.8366520124699e-09,1.335348479712e-05,11.1520067146018,1.335348479712e-05
"DDX58",-4.45757464489561,11.0203438086799,-47.2004836595785,6.73014045800988e-09,1.335348479712e-05,11.0546669118511,1.335348479712e-05
"OAS2",-6.63122315153812,9.21483262905935,-46.580093567394,7.28086323658713e-09,1.335348479712e-05,11.0000932073278,1.335348479712e-05
"DDX60",-4.97443316154897,11.3301539828863,-46.5312606767035,7.32640312466336e-09,1.335348479712e-05,10.9957419236999,1.335348479712e-05
"IFIT1",-5.1306980503125,11.7331586690997,-46.4726118779246,7.3815372071622e-09,1.335348479712e-05,10.9905051342747,1.335348479712e-05
"MX2",-6.15859729901263,9.77349807877528,-45.9286206451844,7.91669470705203e-09,1.335348479712e-05,10.9413613572629,1.335348479712e-05
"EGR2",-4.15885125489573,7.27041971256644,-44.6302070667741,9.38791923014282e-09,1.37258069376889e-05,10.8197695393168,1.37258069376889e-05
"SPRY4",-4.56473865832109,8.36867776912625,-44.378158980288,9.70928449312321e-09,1.37258069376889e-05,10.795440197978,1.37258069376889e-05
"HERC6",-4.55680176316782,10.6643322249965,-43.6344631742937,1.07350776707822e-08,1.37258069376889e-05,10.7222251562599,1.37258069376889e-05
"DUSP6",-4.01594748481204,8.23413571528069,-43.3016613739653,1.12347681630353e-08,1.37258069376889e-05,10.6887550089387,1.37258069376889e-05
